ticker,side,quantity,price,tradedAt,reason,emotion
005930,BUY,50,71000,2024-09-10,반도체 사이클 저점 분할매수 1차,PLANNED
005930,BUY,50,67500,2024-10-15,추가 하락 시 2차 매수 계획대로 진행,PLANNED
005930,SELL,30,74200,2024-11-20,1차 목표가 도달 일부 익절,PLANNED
005930,BUY,20,69800,2025-01-08,조정 구간 재매수,TECHNICAL
000660,BUY,20,168000,2024-08-20,HBM 수요 확대 전망 중기 보유 목적,PLANNED
000660,BUY,10,155000,2024-09-30,엔비디아 실적 발표 앞두고 추가 매수,NEWS_REACTION
000660,SELL,15,195000,2024-12-05,목표가 20만원 근접 절반 익절,PLANNED
000660,SELL,15,178000,2025-02-14,고점 대비 10% 조정 나머지 청산,TECHNICAL
035420,BUY,15,195000,2024-07-22,AI 검색 전환 기대 저평가 판단,PLANNED
035420,BUY,10,181000,2024-10-02,라인야후 이슈 과매도 구간 매수,IMPULSIVE
035420,SELL,25,172000,2025-01-20,실적 기대 미달 손실 감수하고 정리,PLANNED
373220,BUY,5,372000,2024-11-11,전기차 캐즘 완화 조짐 장기 보유 목적,PLANNED
373220,BUY,3,348000,2025-01-15,추가 하락 시 분할매수 2차,PLANNED
035720,BUY,40,47500,2024-06-10,카카오페이 분기 흑자전환 기대,NEWS_REACTION
035720,SELL,40,44200,2024-08-05,플랫폼 규제 리스크 현실화 손절,PLANNED
005380,BUY,10,235000,2025-02-03,미국 관세 우려 과매도 밸류에이션 매력,TECHNICAL
005380,BUY,5,228000,2025-03-10,추가 분할매수,PLANNED
